dim_campaign_key,campaign_id,campaign_name,campaign_message_type,campaign_start_date,campaign_end_date,campaign_target_count,message_content,campaign_source,campaign_window_id,campaign_target_count_delivered,campaign_window_name,segment_code,segment_desc,is_control
0,NA,Unknown,Unknown,,,NA,,0,NA,NA,,NA,,FALSE
3756,100001015,TBS SMS BIRTHDAY FIRST LYBC CLUB APR 17,ENGAGE - SMS,00:00.0,59:59.0,92717,,6,1000000035,92661,TBS Auto Batch - Birthday SMS 1st,100023,TBS LYBC CLUB BIRTHDAY APRIL,FALSE
3757,100001016,TBS SMS BIRTHDAY FIRST LYBC FAN APR 17,ENGAGE - SMS,00:00.0,59:59.0,18708,,6,1000000035,18706,TBS Auto Batch - Birthday SMS 1st,100035,TBS LYBC FAN BIRTHDAY APRIL,FALSE
3758,100001158,TBS SMS BIRTHDAY FIRST LYBC CLUB MAY 17,ENGAGE - SMS,00:00.0,59:59.0,99805,,6,1000000035,92436,TBS Auto Batch - Birthday SMS 1st,100024,TBS LYBC CLUB BIRTHDAY MAY,FALSE
3759,100001159,TBS SMS BIRTHDAY FIRST LYBC FAN MAY 17,ENGAGE - SMS,00:00.0,59:59.0,19889,,6,1000000035,19419,TBS Auto Batch - Birthday SMS 1st,100036,TBS LYBC FAN BIRTHDAY MAY,FALSE
4180,100000986,1 20170403-Y1-4AMH-FAN-Teens + Millennials-WD-Almond Milk & Honey,ENGAGE - SMS,00:00.0,00:00.0,195,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,195,AMH 2nd Window SMS - MON - 03042017,101303,20170403-Y1-4AMH-FAN-Teens + Millennials-WD-Almond Milk & Honey,FALSE
4181,100000987,2 20170403-Y2-4AMH-FAN-GenX + Senior + Other-WD-Almond Milk & Honey,ENGAGE - SMS,00:00.0,00:00.0,346,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,346,AMH 2nd Window SMS - MON - 03042017,101304,20170403-Y2-4AMH-FAN-GenX + Senior + Other-WD-Almond Milk & Honey,FALSE
4182,100000988,3 20170403-Y3-4AMH-CLUB-Teens + Millennials-WD-Bundle 2 AMH SP 250K,ENGAGE - SMS,00:00.0,00:00.0,18602,"NEW Almond Milk & Honey for sensitive, dry skin. Special Bundle: Shower Cream 250ml+Body Lotion 200ml+Bath Lily, HANYA 250k (Reg. 317k) 30Mar-3May17. T&C Apply.",5,1000000092,18602,AMH 2nd Window SMS - MON - 03042017,101305,20170403-Y3-4AMH-CLUB-Teens + Millennials-WD-Bundle 2 AMH SP 250K,FALSE
4183,100000989,4 20170403-Y4-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 1 AMH SP 529K,ENGAGE - SMS,00:00.0,00:00.0,18042,"NEW Almond Milk & Honey for sensitive, dry skin. SPECIAL BUNDLE BUY: Shower Cream 250ml+Body Scrub 250ml+Body Butter 200ml HANYA 529k, 30Mar-3May17. T&C Apply.",5,1000000092,18042,AMH 2nd Window SMS - MON - 03042017,101308,20170403-Y4-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 1 AMH SP 529K,FALSE
4184,100000990,5 20170403-L1-4AMH-FAN-GenX + Senior + Other-WD-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,36,"Get LOWER PRICE for our DEODORANT! Temukan berbagai pilihan Deodorant dgn harga yg lebih terjangkau, start from 99k. While stock lasts, 30Mar-3May17. T&C Apply.",5,1000000092,36,AMH 2nd Window SMS - MON - 03042017,101255,20170403-L1-4AMH-FAN-GenX + Senior + Other-WD-NP All Deodorant,FALSE
4185,100000991,6 20170403-L2-4AMH-CLUB-GenX + Senior + Other-WD-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,2702,"Get LOWER PRICE for our DEODORANT! Temukan berbagai pilihan Deodorant dgn harga yg lebih terjangkau, start from 99k. While stock lasts, 30Mar-3May17. T&C Apply.",5,1000000092,2702,AMH 2nd Window SMS - MON - 03042017,101259,20170403-L2-4AMH-CLUB-GenX + Senior + Other-WD-NP All Deodorant,FALSE
4186,100000992,7 20170403-L3-4AMH-FAN-Teens + Millennials-WD-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,51,"LOWER PRICE for DEODORANT is ON! Dapatkan sekarang jg berbagai pilihan Deodorant with Lower Price, start from 99k. While stock lasts, 30Mar-3May17. T&C Apply.",5,1000000092,51,AMH 2nd Window SMS - MON - 03042017,101260,20170403-L3-4AMH-FAN-Teens + Millennials-WD-NP All Deodorant,FALSE
4187,100000993,8 20170403-L4-4AMH-CLUB-Teens + Millennials-WD-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,5743,"LOWER PRICE for DEODORANT is ON! Dapatkan sekarang jg berbagai pilihan Deodorant with Lower Price, start from 99k. While stock lasts, 30Mar-3May17. T&C Apply.",5,1000000092,5742,AMH 2nd Window SMS - MON - 03042017,101262,20170403-L4-4AMH-CLUB-Teens + Millennials-WD-NP All Deodorant,FALSE
4188,100000995,10 20170403-L6-4AMH-CLUB-GenX + Senior + Other-WD-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,1893,"A FOUNDATION & POWDER ALL in ONE compact! ALL IN ONE FACE BASE mengcover dgn hasil matte finish. DISC 20% with any purchase of Make Up, 30Mar-3May17. T&C Apply.",5,1000000092,1893,AMH 2nd Window SMS - MON - 03042017,101267,20170403-L6-4AMH-CLUB-GenX + Senior + Other-WD-20% AIO Face Base,FALSE
4189,100000996,11 20170403-L7-4AMH-FAN-Teens + Millennials-WD-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,12,"A FOUNDATION & POWDER ALL in ONE compact! ALL IN ONE FACE BASE mengcover dgn hasil matte finish. DISC 20% with any purchase of Make Up, 30Mar-3May17. T&C Apply.",5,1000000092,12,AMH 2nd Window SMS - MON - 03042017,101268,20170403-L7-4AMH-FAN-Teens + Millennials-WD-20% AIO Face Base,FALSE
4190,100000997,12 20170403-L8-4AMH-CLUB-Teens + Millennials-WD-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,2325,"A FOUNDATION & POWDER ALL in ONE compact! ALL IN ONE FACE BASE mengcover dgn hasil matte finish. DISC 20% with any purchase of Make Up, 30Mar-3May17. T&C Apply.",5,1000000092,2325,AMH 2nd Window SMS - MON - 03042017,101270,20170403-L8-4AMH-CLUB-Teens + Millennials-WD-20% AIO Face Base,FALSE
4191,100000998,13 20170403-L9-4AMH-FAN-GenX + Senior + Other-WD-10% NPD Single,ENGAGE - SMS,00:00.0,00:00.0,465,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,465,AMH 2nd Window SMS - MON - 03042017,101271,20170403-L9-4AMH-FAN-GenX + Senior + Other-WD-10% NPD Single,FALSE
4192,100000999,14 20170403-L10-4AMH-FAN-Teens + Millennials-WD-10% NPD Single,ENGAGE - SMS,00:00.0,00:00.0,246,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,246,AMH 2nd Window SMS - MON - 03042017,101273,20170403-L10-4AMH-FAN-Teens + Millennials-WD-10% NPD Single,FALSE
4193,100001000,15 20170403-L11-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,2687,"NEW Almond Milk & Honey for sensitive, dry skin. SPECIAL BUNDLE BUY: Shower Cream 250ml+Body Scrub 250ml+Body Butter 200ml HANYA 529k, 30Mar-3May17. T&C Apply.",5,1000000092,2687,AMH 2nd Window SMS - MON - 03042017,101276,20170403-L11-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 1 AMH,FALSE
4194,100001001,16 20170403-L12-4AMH-CLUB-Teens + Millennials-WD-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,2325,"NEW Almond Milk & Honey for sensitive, dry skin. SPECIAL BUNDLE BUY: Shower Cream 250ml+Body Scrub 250ml+Body Butter 200ml HANYA 529k, 30Mar-3May17. T&C Apply.",5,1000000092,2325,AMH 2nd Window SMS - MON - 03042017,101278,20170403-L12-4AMH-CLUB-Teens + Millennials-WD-Bundle 1 AMH,FALSE
4195,100001002,17 20170403-L13-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,2819,"NEW Almond Milk & Honey for sensitive skin. Special Bundle Buy: Shower Cream 250ml+Body Lotion 200ml+Bath Lily, HANYA 250k (Reg. 317k) 30Mar-3May17. T&C Apply.",5,1000000092,2819,AMH 2nd Window SMS - MON - 03042017,101281,20170403-L13-4AMH-CLUB-GenX + Senior + Other-WD-Bundle 2 AMH,FALSE
4196,100001003,18 20170403-L14-4AMH-CLUB-Teens + Millennials-WD-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,3123,"NEW Almond Milk & Honey for sensitive skin. Special Bundle Buy: Shower Cream 250ml+Body Lotion 200ml+Bath Lily, HANYA 250k (Reg. 317k) 30Mar-3May17. T&C Apply.",5,1000000092,3123,AMH 2nd Window SMS - MON - 03042017,101283,20170403-L14-4AMH-CLUB-Teens + Millennials-WD-Bundle 2 AMH,FALSE
4197,100001004,19 20170403-M1-4AMH-FAN + LYB-Teens + Millennials -WD-Make Up 20%,ENGAGE - SMS,00:00.0,00:00.0,271,"A PERFECT GIFT FOR SOMEONE SPECIAL! Berikan All In One Face Base sebagai hadiah istimewa. Get DISC 20% with any purchase of Make Up, 30Mar-3 May17. T&C Apply.",5,1000000092,271,AMH 2nd Window SMS - MON - 03042017,101272,20170403-M1-4AMH-FAN + LYB-Teens + Millennials -WD-Make Up 20%,FALSE
4198,100001005,20 20170403-M2-4AMH-FAN + LYB-Teens + Millennials -WD-Make Up 20%,ENGAGE - SMS,00:00.0,00:00.0,9225,"A FOUNDATION & POWDER ALL in ONE compact! ALL IN ONE FACE BASE mengcover dgn hasil matte finish. DISC 20% with any purchase of Make Up, 30Mar-3May17. T&C Apply.",5,1000000092,9224,AMH 2nd Window SMS - MON - 03042017,101275,20170403-M2-4AMH-FAN + LYB-Teens + Millennials -WD-Make Up 20%,FALSE
