"","customer_id","first_date","last_date","recency","latency","basket_count","annual_spend","ave_basket","ave_unit_price","ave_disc_pct"
"1",19314549,"2016-05-04","2017-02-21","326","73","5","3750000",750000,178571,25
"2",18781498,"2016-05-28","2017-03-25","358","25","13","7511000",577769,259000,12
"3",19562860,"2016-06-21","2016-06-21","81","0","1","189000",189000,189000,0
"4",19383074,"2016-06-23","2017-02-15","320","118","3","1335000",445000,267000,15
"5",2200001000023932,"2017-02-04","2017-02-04","309","0","1","507000",507000,126750,25
"6",21277753,"2016-12-19","2017-01-26","300","38","2","637000",318500,91000,0
"7",18581929,"2016-06-03","2016-06-03","63","0","1","89000",89000,89000,0
"8",18571246,"2016-05-15","2017-03-25","358","24","14","13216000",944000,254153,19
"9",18256396,"2017-01-17","2017-01-17","291","0","1","229000",229000,229000,0
"10",18346310,"2017-03-02","2017-03-02","335","0","1","229000",229000,229000,0
"11",18531157,"2016-11-23","2016-11-23","236","0","1","268000",268000,44666,0
"12",18501336,"2016-04-09","2017-01-03","277","26","11","4203000",382090,221210,24
"13",21286169,"2016-12-26","2016-12-26","269","0","1","846000",846000,211500,4
"14",21224714,"2016-11-08","2017-03-14","347","63","3","983000",327666,122875,14
"15",18783507,"2016-12-06","2016-12-06","249","0","1","179000",179000,179000,0
"16",19127776,"2016-05-03","2017-03-09","342","310","2","1882000",941000,235250,1
"17",19535384,"2016-08-11","2016-09-14","166","11","4","1044000",261000,174000,25
"18",19705123,"2017-02-09","2017-02-09","314","0","1","766000",766000,191500,10
"19",19513328,"2016-06-23","2016-06-23","83","0","1","259000",259000,259000,0
"20",19536658,"2016-05-05","2016-05-05","34","0","1","537000",537000,179000,50
"21",19382816,"2016-04-09","2017-01-15","289","28","11","6170000",560909,186969,29
"22",19536413,"2016-07-16","2017-03-30","363","85","4","4829000",1207250,185730,6
"23",21019829,"2016-06-10","2016-06-15","75","5","2","646000",323000,129200,11
"24",18483579,"2016-05-03","2016-11-01","214","182","2","168000",84000,84000,35
"25",19117689,"2016-06-16","2017-01-24","298","222","2","737000",368500,245666,17
"26",19149988,"2016-11-03","2016-11-03","216","0","1","209000",209000,209000,50
"27",19400906,"2016-05-09","2016-12-13","256","36","7","2238000",319714,186500,21
"28",20811816,"2016-08-17","2016-08-17","138","0","1","288000",288000,144000,0
"29",19513653,"2016-09-12","2016-09-12","164","0","1","556000",556000,139000,0
"30",18716574,"2016-08-03","2016-08-03","124","0","1","89000",89000,89000,0
"31",19076424,"2016-10-12","2017-03-15","348","38","5","1070000",214000,107000,4
"32",19085570,"2017-03-20","2017-03-20","353","0","1","508000",508000,254000,10
"33",18645264,"2017-03-05","2017-03-28","361","11","3","1331000",443666,147888,15
"34",20948156,"2016-05-04","2016-09-18","170","68","3","1961000",653666,178272,39
"35",19136155,"2016-08-15","2016-08-15","136","0","1","139000",139000,139000,0
"36",18685534,"2016-04-24","2017-03-10","343","35","10","5506000",550600,229416,17
"37",19536085,"2016-04-16","2017-03-29","362","49","8","9457000",1182125,270200,34
"38",20998931,"2016-05-19","2017-03-12","345","59","6","1481000",246833,123416,1
"39",21262483,"2016-12-05","2017-03-23","356","36","4","1014000",253500,126750,7
"40",18789514,"2016-04-02","2017-03-06","339","48","8","12831000",1603875,210344,7
"41",21105983,"2016-08-15","2016-12-12","255","119","2","947000",473500,189400,16
"42",18345013,"2016-06-06","2016-07-12","102","36","2","467000",233500,155666,0
"43",19512340,"2016-11-24","2017-01-25","299","62","2","2752000",1376000,305777,19
"44",18768782,"2016-04-05","2017-01-22","296","97","4","3201000",800250,355666,7
"45",21185480,"2016-10-13","2016-12-05","248","26","3","1175000",391666,106818,27
"46",18504283,"2016-05-05","2016-05-05","34","0","1","1086000",1086000,271500,7
"47",19777592,"2016-04-11","2016-08-22","143","133","2","637000",318500,159250,27
"48",18719047,"2016-10-10","2017-01-12","286","94","2","1145000",572500,229000,8
"49",18580388,"2016-05-08","2016-05-08","37","0","1","1284000",1284000,160500,33
"50",18360445,"2016-04-10","2017-01-03","277","134","3","1181000",393666,131222,44
"51",21175557,"2016-10-06","2016-10-31","213","25","2","517000",258500,103400,19
"52",18344546,"2016-08-31","2016-08-31","152","0","1","498000",498000,249000,19
"53",21154194,"2016-09-20","2016-12-08","251","79","2","2770000",1385000,251818,13
"54",19131548,"2016-04-24","2017-03-26","359","67","6","7511000",1251833,326565,20
"55",18436758,"2016-05-09","2016-05-09","38","0","1","295000",295000,59000,0
"56",19571387,"2016-04-12","2017-03-23","356","345","2","1254000",627000,209000,0
"57",18246776,"2017-02-02","2017-03-22","355","48","2","885000",442500,126428,7
"58",19695045,"2016-06-09","2016-06-09","69","0","1","209000",209000,69666,0
"59",18786905,"2016-05-01","2016-12-11","254","224","2","1972000",986000,246500,15
"60",18378315,"2016-06-20","2016-06-27","87","7","2","438000",219000,219000,23
"61",21304339,"2017-01-07","2017-03-27","360","39","3","756000",252000,108000,6
"62",18677550,"2016-04-04","2017-03-16","349","86","5","2661000",532200,295666,4
"63",18346215,"2017-02-09","2017-02-09","314","0","1","297000",297000,99000,15
"64",19456932,"2016-11-02","2016-11-02","215","0","1","89000",89000,89000,0
